ply,player,role,fen_before,move,fallback
41,Stockfish-Strong,black,r3kb1r/4p1pp/n1pp1p1n/pB6/3P1P2/PP1KPb2/2P1Q2P/1RBN3R b k - 1 21,h8g8,True
183,Stockfish-Mid,black,4Q2k/6N1/3P4/3N4/2B5/4K1R1/8/8 b - - 0 92,h8h7,True
58,Stockfish-Weak,white,r4b2/4kp1r/1p5p/1ppP1Pp1/1n1P4/P1N5/RKb2PNP/3B3R w - c6 0 30,g2f4,True
143,Stockfish-Strong,black,B6r/3k4/p2np3/P3P3/1BP4p/4K2p/3P4/5R2 b - - 6 72,h8f8,True
169,Stockfish-Strong,black,8/8/R3N3/P1P1kpr1/1P5K/8/5R2/2N5 b - - 0 85,g5g1,True
141,Stockfish-Strong,black,5k2/3P3p/7P/2r1P1pB/8/8/1n6/2b4K b - - 3 71,b2a4,True
142,stupid1,white,5k2/3P3p/7P/2r1P1pB/n7/8/8/2b4K w - - 4 72,h1g1,False
174,Stockfish-Weak,white,N7/3N3k/8/2pn3K/p1P5/8/3q1n2/b7 w - - 21 88,a8c7,True
125,Stockfish-Strong,black,3r1bk1/8/r1PpPp2/1Q1P3p/pp2pn1P/3BP1p1/6P1/1KR1N2R b - - 8 63,f4h3,True
126,stupid1,white,3r1bk1/8/r1PpPp2/1Q1P3p/pp2p2P/3BP1pn/6P1/1KR1N2R w - - 9 64,d3f1,False
68,Stockfish-Mid,white,2b3k1/3p1pr1/2q2b1p/p1pPp3/1n2P1nP/N1P1R1PN/PP2Br2/2R1B1K1 w - - 0 35,d5d6,True
54,Stockfish-Strong,white,r1b1k3/p1Pp2p1/1pnQpr2/5p1p/3P1PPq/2n2N1P/PBN1P3/RK3BR1 w - - 0 28,b1c1,True
2,Stockfish-Strong,white,r1bqkbnr/pppppppp/n7/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 1 2,h2h3,True
3,stupid2,black,r1bqkbnr/pppppppp/n7/8/8/1P5P/P1PPPPP1/RNBQKBNR b KQkq - 0 2,g8h6,False
87,Stockfish-Mid,black,2R5/b4N2/2r1bp2/k3pP1p/P1ppPP1Q/1P1P3B/3K3P/5N2 b - - 0 44,a5a6,True
67,Stockfish-Strong,black,1n5r/rpp2pk1/8/4N2p/B2PP1p1/B3nPPP/P2KN3/1R5R b - - 1 34,h8g8,True
45,Stockfish-Strong,black,rnb5/p1ppk1pr/3b2n1/4p1P1/B2qPp2/RP3P1p/1BPP3P/3QK1NR b - - 2 23,c7c6,True
143,Stockfish-Strong,black,1k6/8/2R5/p7/Pp1p1NB1/8/6QP/R4K2 b - - 1 72,b8a7,True
78,Stockfish-Weak,white,rn2k3/1p1r2b1/PP1p1Bpp/1N1P2p1/4Ppn1/1Q4N1/6K1/R3RB2 w - - 5 40,a1a4,True
42,Stockfish-Weak,white,r3kbr1/4p1pp/n1pp1p1n/pB6/3P1P2/PP1KPb2/2P1Q2P/1RBN3R w - - 2 22,b5a4,True
59,Stockfish-GM,black,r4b2/4kp1r/1p5p/1ppP1Pp1/1n1P1N2/P1N5/RKb2P1P/3B3R b - - 1 30,h7h8,True
146,Stockfish-GM,white,B7/6r1/2K1Pk2/7r/pR2RP2/p7/P7/8 w - - 3 74,e4d4,True
144,Stockfish-Mid,white,B4r2/3k4/p2np3/P3P3/1BP4p/4K2p/3P4/5R2 w - - 7 73,c4c5,True
184,Stockfish-Strong,white,4Q3/6Nk/3P4/3N4/2B5/4K1R1/8/8 w - - 1 93,e8e4,True
175,Stockfish-GM,black,8/2NN3k/8/2pn3K/p1P5/8/3q1n2/b7 b - - 22 88,f2g4,True
143,Stockfish-Strong,black,5k2/3P3p/7P/2r1P1pB/n7/8/8/2b3K1 b - - 5 72,g5g4,True
144,stupid1,white,5k2/3P3p/7P/2r1P2B/n5p1/8/8/2b3K1 w - - 0 73,h5g4,False
170,Stockfish-Weak,white,8/8/R3N3/P1P1kp2/1P5K/8/5R2/2N3r1 w - - 1 86,e6f8,True
127,Stockfish-Strong,black,3r1bk1/8/r1PpPp2/1Q1P3p/pp2p2P/4P1pn/6P1/1KR1NB1R b - - 10 64,d8c8,True
128,stupid1,white,2r2bk1/8/r1PpPp2/1Q1P3p/pp2p2P/4P1pn/6P1/1KR1NB1R w - - 11 65,b5b7,False
55,Stockfish-Strong,black,r1b1k3/p1Pp2p1/1pnQpr2/5p1p/3P1PPq/2n2N1P/PBN1P3/R1K2BR1 b - - 1 28,c6e5,True
69,Stockfish-Strong,black,2b3k1/3p1pr1/2qP1b1p/p1p1p3/1n2P1nP/N1P1R1PN/PP2Br2/2R1B1K1 b - - 0 35,c6d6,True
79,Stockfish-GM,black,1nb3nr/r2k1p2/2p2b2/p1P4p/P1qP2pP/4RNNQ/6P1/KR6 b - - 5 40,c8b7,True
4,Stockfish-Strong,white,r1bqkb1r/pppppppp/n6n/8/8/1P5P/P1PPPPP1/RNBQKBNR w KQkq - 1 3,f2f3,True
5,stupid2,black,r1bqkb1r/pppppppp/n6n/8/8/1P3P1P/P1PPP1P1/RNBQKBNR b KQkq - 0 3,b7b5,False
94,Stockfish-Weak,white,r7/8/1p2k1np/p1pp1N1P/P5pb/1P1P2B1/3QK3/1R1R3B w - - 3 48,f5h6,True
68,Stockfish-Mid,white,1n4r1/rpp2pk1/8/4N2p/B2PP1p1/B3nPPP/P2KN3/1R5R w - - 2 35,h1f1,True
